City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,curillo,1.0333,-75.9191,85.62,65,100,2.89,CO,1683663554
328,kantabanji,20.4833,82.9167,87.53,41,96,4.99,IN,1683663554
329,kargopol',61.5071,38.9456,45.54,77,100,5.1,RU,1683663554
330,de aar,-30.6497,24.0123,57.31,42,6,3.09,ZA,1683663555
331,brensbach,49.7739,8.8844,60.96,98,100,5.03,DE,1683663555
332,kalmunai,7.4167,81.8167,78.44,87,100,8.05,LK,1683663555
333,castillos,-34.1667,-53.8333,63.1,55,90,9.53,UY,1683663555
334,shwebo,22.5667,95.7,86.4,52,0,4.34,MM,1683663556
335,moose jaw,50.4001,-105.5344,66.47,34,100,4.61,CA,1683663556
336,monahans,31.5943,-102.8926,97.48,14,57,13.2,US,1683663556
337,choibalsan,48.0667,114.5,49.62,27,40,7.29,MN,1683663557
338,kimbe,-5.5502,150.1429,76.17,92,22,3.87,PG,1683663562
339,raalte,52.3858,6.275,58.14,95,100,5.61,NL,1683663562
340,sinop,41.7711,34.8709,47.16,97,100,1.39,TR,1683663563
341,punta gorda,26.9298,-82.0454,92.17,67,0,11.5,US,1683663290
342,hami,42.8,93.45,57.6,37,91,3.71,CN,1683663563
343,beacon square,28.2086,-82.7554,90.21,61,100,5.01,US,1683663564
344,champerico,14.3,-91.9167,97.34,64,12,14.61,GT,1683663565
345,abu al matamir,30.9102,30.1744,64.89,78,19,7.7,EG,1683663565
346,eureka,40.8021,-124.1637,68.74,69,50,7.0,US,1683663565
347,carloforte,39.145,8.3058,63.55,78,100,6.55,IT,1683663566
348,bielawa,50.6908,16.623,51.94,88,76,7.72,PL,1683663566
349,johnstown,40.3267,-78.922,75.31,35,0,9.15,US,1683663287
350,rongelap,11.1635,166.8941,80.98,83,90,16.02,MH,1683663567
351,cambrai,50.1667,3.4167,55.85,92,68,7.07,FR,1683663567
352,anloga,5.7947,0.8973,84.18,76,96,11.74,GH,1683663567
353,ishpeming,46.4885,-87.6676,71.94,38,67,3.91,US,1683663567
354,guanica,17.9716,-66.908,89.69,76,61,15.21,PR,1683663568
355,constanta,44.1833,28.65,48.88,75,16,8.05,RO,1683663568
356,douglas,41.3,-96.167,74.32,61,0,9.22,US,1683663346
357,cannonvale,-20.2833,148.7,65.59,61,13,12.64,AU,1683663568
358,argo,37.6333,22.7333,61.79,84,100,4.45,GR,1683663516
359,tingo maria,-9.2895,-76.0088,78.26,71,78,2.37,PE,1683663569
360,la punta,-33.1837,-66.3127,71.69,32,66,2.71,AR,1683663569
361,puerto colombia,10.9878,-74.9547,91.49,77,100,17.07,CO,1683663569
362,le puy-en-velay,45.0437,3.8852,50.02,97,78,3.71,FR,1683663569
363,lake munmorah,-33.1936,151.5719,57.79,72,6,11.03,AU,1683663570
364,enoch,37.7733,-113.0244,68.47,21,0,14.97,US,1683663570
